StartDate,EndDate,relationship_status,relationship_length,sleeping_alone_frequency,"When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,income,Education,Location (Census Region)
7/9/14 22:53,7/9/14 22:56,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Business and Financial Operations Occupations,,Male,18-29,"$50,000 - $99,999",Bachelor degree,New England
7/9/14 22:47,7/9/14 22:51,Married,11-15 years,Once a month or less,Other (please specify),kids bed,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,One of us needs to sleep with a child,,,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Computer and Mathematical Occupations,,Male,30-44,"$150,000.00",Graduate degree,Pacific
7/9/14 22:48,7/9/14 22:49,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,30-44,,Bachelor degree,Middle Atlantic
7/9/14 22:33,7/9/14 22:35,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Separate bedroom,,Separate bedroom,,,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Strongly disagree,Sales and Related Occupations,,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
7/9/14 22:32,7/9/14 22:35,Married,More than 20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Male,30-44,,Graduate degree,West North Central
7/9/14 22:28,7/9/14 22:29,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,,,,,
7/9/14 22:27,7/9/14 22:28,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,30-44,,Bachelor degree,Pacific
7/9/14 22:25,7/9/14 22:27,Married,11-15 years,Once a year or less,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,Night working/very different sleeping times,,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly agree,Somewhat disagree,Transportation and Materials Moving Occupations,,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central
7/9/14 22:25,7/9/14 22:25,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,18-29,"$50,000 - $99,999",Bachelor degree,New England
7/9/14 22:24,7/9/14 22:30,In a domestic partnership or civil union,11-15 years,A few times per week,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,,Night working/very different sleeping times,Other (please specify),Within 6-10 years of our relationship,Strongly agree,Somewhat agree,Somewhat agree,Other (please specify),Property Management; Desk Clerk,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
7/9/14 22:19,7/9/14 22:25,"Single, but cohabiting with a significant other",Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
7/9/14 22:23,7/9/14 22:27,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,Not enough space,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Construction and Extraction Occupations,,Male,18-29,,High school degree,West South Central
7/9/14 22:22,7/9/14 22:22,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Food Preparation and Serving Related Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
